id,label
0,5
1,5
2,9
3,9
4,99
5,5
6,9
7,9
8,9
9,9
10,9
11,9
12,3
13,3
14,9
15,9
16,9
17,99
18,99
19,9
20,9
21,9
22,14
23,0
24,9
25,9
26,9
27,9
28,9
29,1
30,99
31,9
32,9
33,9
34,99
35,99
36,5
37,9
38,99
39,5
40,5
41,1
42,9
43,5
44,5
45,9
46,9
47,12
48,5
49,0
50,9
51,9
52,5
53,3
54,12
55,99
56,99
57,5
58,9
59,5
60,99
61,9
62,9
63,14
64,5
65,3
66,9
67,5
68,3
69,9
70,9
71,99
72,99
73,9
74,9
75,9
76,9
77,9
78,3
79,99
80,99
81,9
82,99
83,3
84,9
85,9
86,9
87,9
88,99
89,99
90,99
91,99
92,9
93,3
94,9
95,9
96,9
97,9
98,3
99,9
100,9
101,9
102,0
103,9
104,99
105,99
106,99
107,9
108,99
109,9
110,9
111,9
112,9
113,5
114,99
115,9
116,99
117,9
118,99
119,5
120,9
121,9
122,9
123,3
124,9
125,9
126,9
127,9
128,99
129,9
130,99
131,9
132,99
133,5
134,99
135,9
136,5
137,9
138,9
139,9
140,99
141,0
142,99
143,99
144,9
145,9
146,99
147,14
148,1
149,3
150,9
151,9
152,9
153,99
154,99
155,9
156,99
157,9
158,3
159,99
160,5
161,9
162,9
163,1
164,5
165,9
166,9
167,9
168,9
169,9
170,9
171,9
172,9
173,9
174,5
175,9
176,99
177,99
178,0
179,9
180,9
181,9
182,99
183,9
184,3
185,3
186,5
187,99
188,9
189,5
190,99
191,99
192,1
193,5
194,9
195,5
196,9
197,9
198,99
199,5
200,99
201,99
202,99
203,5
204,9
205,9
206,99
207,9
208,99
209,9
210,13
211,9
212,9
213,13
214,1
215,9
216,99
217,1
218,9
219,9
220,0
221,5
222,9
223,99
224,3
225,9
226,99
227,9
228,0
229,9
230,9
231,12
232,12
233,9
234,1
235,9
236,9
237,9
238,9
239,9
240,9
241,99
242,3
243,9
244,3
245,1
246,9
247,5
248,9
249,99
250,99
251,99
252,9
253,0
254,9
255,9
256,5
257,9
258,7
259,5
260,99
261,99
262,3
263,9
264,5
265,9
266,99
267,9
268,99
269,9
270,9
271,9
272,99
273,2
274,3
275,9
276,5
277,9
278,9
279,9
280,9
281,9
282,9
283,5
284,9
285,1
286,9
287,9
288,5
289,9
290,3
291,9
292,0
293,5
294,9
295,99
296,9
297,0
298,12
299,13
300,9
301,3
302,8
303,9
304,9
305,99
306,13
307,9
308,9
309,9
310,9
311,9
312,9
313,9
314,5
315,99
316,0
317,99
318,1
319,99
320,99
321,5
322,9
323,9
324,9
325,99
326,9
327,9
328,9
329,99
330,9
331,3
332,9
333,9
334,99
335,13
336,15
337,9
338,9
339,9
340,9
341,9
342,9
343,99
344,9
345,9
346,9
347,9
348,9
349,9
350,9
351,99
352,0
353,9
354,9
355,5
356,9
357,99
358,1
359,9
360,99
361,9
362,5
363,99
364,1
365,9
366,3
367,14
368,1
369,13
370,13
371,9
372,9
373,5
374,0
375,9
376,9
377,9
378,9
379,9
380,9
381,9
382,5
383,99
384,3
385,1
386,99
387,9
388,9
389,99
390,5
391,5
392,9
393,9
394,5
395,9
396,99
397,9
398,99
399,9
400,9
401,0
402,99
403,1
404,9
405,9
406,9
407,99
408,3
409,3
410,9
411,9
412,5
413,3
414,9
415,99
416,1
417,9
418,9
419,9
420,9
421,99
422,9
423,9
424,9
425,9
426,99
427,9
428,9
429,9
430,99
431,99
432,3
433,9
434,1
435,13
436,9
437,99
438,5
439,9
440,99
441,99
442,1
443,9
444,99
445,11
446,9
447,9
448,3
449,99
450,9
451,13
452,99
453,9
454,99
455,9
456,9
457,99
458,3
459,9
460,9
461,5
462,9
463,9
464,99
465,14
466,9
467,9
468,3
469,9
470,9
471,9
472,1
473,99
474,0
475,9
476,9
477,9
478,5
479,9
480,99
481,9
482,5
483,5
484,0
485,9
486,9
487,5
488,5
489,0
490,0
491,9
492,99
493,7
494,1
495,9
496,99
497,5
498,5
499,9
500,3
501,99
502,1
503,99
504,5
505,9
506,9
507,9
508,3
509,15
510,13
511,99
512,13
513,5
514,99
515,9
516,9
517,12
518,9
519,99
520,1
521,9
522,9
523,9
524,5
525,9
526,9
527,9
528,9
529,9
530,9
531,99
532,15
533,9
534,99
535,99
536,99
537,9
538,5
539,15
540,99
541,9
542,12
543,9
544,14
545,9
546,9
547,5
548,5
549,9
550,1
551,9
552,9
553,9
554,9
555,9
556,9
557,5
558,9
559,9
560,99
561,9
562,9
563,3
564,13
565,15
